Skin Type,Product,Company_x,Star_x,Age,category,Ingredient,Good,Bad
,100% 오가닉 콜드-프레스드 모로칸 아르간 오일,,,,face_oil,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '1'}, {'ingredient_each_purpose': '수분 증발 차단', 'ingredient_each_purpose_cnt': '1'}]","가벼운(2), 트러블안생기는(2), 모공관리되는(1)","보습안되는(2), 향이아쉬운(2), 냄새가독한(1)"
,100% 오가닉 호호바 오일 118ml,,,,face_oil,"[{'ingredient_each_purpose': '수분 증발 차단', 'ingredient_each_purpose_cnt': '1'}]","보습잘되는(38), 흡수잘되는(16), 수분있는(12), 끈적하지않은(9), 자극없는(7), 트러블안생기는(7), 피지없어지는(5)","흘러내리는(21), 알러지반응오는(2), 내용물이새는(1), 블랙헤드안없어지는(1), 잘굳는(1), 모공관리안되는(1), 미끌거리는(1)"
,100% 퓨어 유기농 시어버터,,,,multibalm,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '1'}, {'ingredient_each_purpose': '수분 증발 차단', 'ingredient_each_purpose_cnt': '1'}]","보습잘되는(193), 저렴한(70), 용량많은(50), 수분있는(50), 아이에게적합한(44), 겨울에사용하기좋은(33), 발진안생기는(9)","흡수안되는(30), 알갱이있는(23), 끈적한(23), 잘굳는(22), 잘안발리는(20), 여름에사용하기안좋은(17), 위생적이지않는(12)"
,100% 퓨어 호호바 오일 118ml,,,,face_oil,"[{'ingredient_each_purpose': '수분 증발 차단', 'ingredient_each_purpose_cnt': '1'}]","수분있는(976), 흡수잘되는(775), 트러블안생기는(575), 자극없는(453), 끈적하지않은(409), 피지없어지는(246), 블랙헤드없어지는(233)","흘러내리는(858), 알러지반응오는(228), 미끌거리는(107), 리치한(34), 잘굳는(31), 잔여물남는(18), 밀림있는(17)"
,100％ 오가닉 콜드-프레스드 로즈 힙 씨드 오일,,,,face_oil,"[{'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '1'}]","보습잘되는(35), 트러블안생기는(15), 수분있는(15), 흡수잘되는(15), 트러블없어지는(15), 가벼운(12), 잘발리는(7)","향이아쉬운(9), 알러지반응오는(5), 흘러내리는(3), 밀림있는(2), 겉도는(2), 때처럼나오는(1), 인공향나는(1)"
건성,1025 독도 로션 200ml,라운드랩,4.34,10대,lotion_emulsion,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '14'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '6'}]","자극없는(7,356), 잘발리는(4,295), 흡수잘되는(3,715), 트러블안생기는(2,385), 가벼운(2,269), 끈적하지않은(2,015), 산뜻한(935)","유분있는(2,226), 알러지반응오는(1,197), 따가운(852), 흘러내리는(279), 겉도는(228), 가려운(223), 유수분밸런스가맞지않는(156)"
건성,1025 독도 로션 200ml,라운드랩,4.34,20대,lotion_emulsion,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '14'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '6'}]","자극없는(7,356), 잘발리는(4,295), 흡수잘되는(3,715), 트러블안생기는(2,385), 가벼운(2,269), 끈적하지않은(2,015), 산뜻한(935)","유분있는(2,226), 알러지반응오는(1,197), 따가운(852), 흘러내리는(279), 겉도는(228), 가려운(223), 유수분밸런스가맞지않는(156)"
지성,1025 독도 로션 200ml,라운드랩,4.28,10대,lotion_emulsion,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '14'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '6'}]","자극없는(7,356), 잘발리는(4,295), 흡수잘되는(3,715), 트러블안생기는(2,385), 가벼운(2,269), 끈적하지않은(2,015), 산뜻한(935)","유분있는(2,226), 알러지반응오는(1,197), 따가운(852), 흘러내리는(279), 겉도는(228), 가려운(223), 유수분밸런스가맞지않는(156)"
지성,1025 독도 로션 200ml,라운드랩,4.28,20대,lotion_emulsion,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '14'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '6'}]","자극없는(7,356), 잘발리는(4,295), 흡수잘되는(3,715), 트러블안생기는(2,385), 가벼운(2,269), 끈적하지않은(2,015), 산뜻한(935)","유분있는(2,226), 알러지반응오는(1,197), 따가운(852), 흘러내리는(279), 겉도는(228), 가려운(223), 유수분밸런스가맞지않는(156)"
중성,1025 독도 로션 200ml,라운드랩,4.37,10대,lotion_emulsion,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '14'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '6'}]","자극없는(7,356), 잘발리는(4,295), 흡수잘되는(3,715), 트러블안생기는(2,385), 가벼운(2,269), 끈적하지않은(2,015), 산뜻한(935)","유분있는(2,226), 알러지반응오는(1,197), 따가운(852), 흘러내리는(279), 겉도는(228), 가려운(223), 유수분밸런스가맞지않는(156)"
중성,1025 독도 로션 200ml,라운드랩,4.37,20대,lotion_emulsion,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '14'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '6'}]","자극없는(7,356), 잘발리는(4,295), 흡수잘되는(3,715), 트러블안생기는(2,385), 가벼운(2,269), 끈적하지않은(2,015), 산뜻한(935)","유분있는(2,226), 알러지반응오는(1,197), 따가운(852), 흘러내리는(279), 겉도는(228), 가려운(223), 유수분밸런스가맞지않는(156)"
복합성,1025 독도 로션 200ml,라운드랩,4.28,10대,lotion_emulsion,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '14'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '6'}]","자극없는(7,356), 잘발리는(4,295), 흡수잘되는(3,715), 트러블안생기는(2,385), 가벼운(2,269), 끈적하지않은(2,015), 산뜻한(935)","유분있는(2,226), 알러지반응오는(1,197), 따가운(852), 흘러내리는(279), 겉도는(228), 가려운(223), 유수분밸런스가맞지않는(156)"
복합성,1025 독도 로션 200ml,라운드랩,4.28,20대,lotion_emulsion,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '14'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '6'}]","자극없는(7,356), 잘발리는(4,295), 흡수잘되는(3,715), 트러블안생기는(2,385), 가벼운(2,269), 끈적하지않은(2,015), 산뜻한(935)","유분있는(2,226), 알러지반응오는(1,197), 따가운(852), 흘러내리는(279), 겉도는(228), 가려운(223), 유수분밸런스가맞지않는(156)"
여드름,1025 독도 로션 200ml,라운드랩,4.27,10대,lotion_emulsion,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '14'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '6'}]","자극없는(7,356), 잘발리는(4,295), 흡수잘되는(3,715), 트러블안생기는(2,385), 가벼운(2,269), 끈적하지않은(2,015), 산뜻한(935)","유분있는(2,226), 알러지반응오는(1,197), 따가운(852), 흘러내리는(279), 겉도는(228), 가려운(223), 유수분밸런스가맞지않는(156)"
여드름,1025 독도 로션 200ml,라운드랩,4.27,20대,lotion_emulsion,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '14'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '6'}]","자극없는(7,356), 잘발리는(4,295), 흡수잘되는(3,715), 트러블안생기는(2,385), 가벼운(2,269), 끈적하지않은(2,015), 산뜻한(935)","유분있는(2,226), 알러지반응오는(1,197), 따가운(852), 흘러내리는(279), 겉도는(228), 가려운(223), 유수분밸런스가맞지않는(156)"
아토피,1025 독도 로션 200ml,라운드랩,4.25,10대,lotion_emulsion,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '14'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '6'}]","자극없는(7,356), 잘발리는(4,295), 흡수잘되는(3,715), 트러블안생기는(2,385), 가벼운(2,269), 끈적하지않은(2,015), 산뜻한(935)","유분있는(2,226), 알러지반응오는(1,197), 따가운(852), 흘러내리는(279), 겉도는(228), 가려운(223), 유수분밸런스가맞지않는(156)"
아토피,1025 독도 로션 200ml,라운드랩,4.25,20대,lotion_emulsion,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '14'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '6'}]","자극없는(7,356), 잘발리는(4,295), 흡수잘되는(3,715), 트러블안생기는(2,385), 가벼운(2,269), 끈적하지않은(2,015), 산뜻한(935)","유분있는(2,226), 알러지반응오는(1,197), 따가운(852), 흘러내리는(279), 겉도는(228), 가려운(223), 유수분밸런스가맞지않는(156)"
,1025 독도 미스트 150ml,,,,mist,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '22'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '3'}]","수분있는(190), 분사잘되는(181), 보습잘되는(139), 자극없는(129), 안개분사되는(89), 가벼운(50), 흡수잘되는(49)","인공향나는(10), 알러지반응오는(8), 눈통증있는(7), 냄새가독한(5), 가려운(4), 알콜냄새나는(3), 쿨링안되는(3)"
,1025 독도 아이크림 30ml,,,,eye_care,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '28'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '5'}]","잘발리는(40), 수분있는(38), 자극없는(30), 흡수잘되는(28), 보습잘되는(20), 가벼운(19), 리치하지않은(13)","주름안없어지는(23), 미백효과가없는(9), 눈통증있는(9), 탄력안생기는(8), 알러지반응오는(6), 가려운(4), 지속력안좋은(2)"
,1025 독도 크림 50ml 2개,,,,cream,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '24'}, {'ingredient_each_purpose': '수분 증발 차단', 'ingredient_each_purpose_cnt': '6'}]","수분있는(911), 보습잘되는(818), 잘발리는(590), 자극없는(577), 흡수잘되는(385), 트러블안생기는(267), 끈적하지않은(217)","유분있는(383), 알러지반응오는(127), 답답한(65), 유수분밸런스가맞지않는(44), 따가운(40), 모공관리안되는(36), 겉도는(33)"
지성,1025 독도 클렌저 150ml (2개입),라운드랩,4.39,10대,,(25:피부 보습) (2:피부 보호) (1:수분 증발 차단),"(보습잘되는:3,710) (약산성인:2,516) (수분있는:1,811) (트러블안생기는:1,324) (트러블없어지는:625) (2차세안에적합한:569) (따갑지않은:315)","(세정안되는:2,981) (향이아쉬운:1,681) (미끌거리는:1,342) (노폐물제거안되는:1,159) (뽀드득거리지않는:905) (알러지반응오는:451) (잔여물남는:323)"
지성,1025 독도 클렌저 150ml (2개입),라운드랩,4.39,20대,,(25:피부 보습) (2:피부 보호) (1:수분 증발 차단),"(보습잘되는:3,710) (약산성인:2,516) (수분있는:1,811) (트러블안생기는:1,324) (트러블없어지는:625) (2차세안에적합한:569) (따갑지않은:315)","(세정안되는:2,981) (향이아쉬운:1,681) (미끌거리는:1,342) (노폐물제거안되는:1,159) (뽀드득거리지않는:905) (알러지반응오는:451) (잔여물남는:323)"
건성,1025 독도 토너 200ml,라운드랩,4.43,10대,skin/toner,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '13'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '2'}]","각질제거잘되는(4,018), 피부결좋아지는(3,845), 잘발리는(3,435), 산뜻한(3,435), 따갑지않은(1,730), 뒤집어지지않는(1,367), 매끄러운(1,018)","흘러내리는(2,543), 알러지반응오는(2,056), 가려운(380), 블랙헤드안없어지는(314), 잘굳는(266), 미끌거리는(206), 지속력안좋은(175)"
건성,1025 독도 토너 200ml,라운드랩,4.43,20대,skin/toner,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '13'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '2'}]","각질제거잘되는(4,018), 피부결좋아지는(3,845), 잘발리는(3,435), 산뜻한(3,435), 따갑지않은(1,730), 뒤집어지지않는(1,367), 매끄러운(1,018)","흘러내리는(2,543), 알러지반응오는(2,056), 가려운(380), 블랙헤드안없어지는(314), 잘굳는(266), 미끌거리는(206), 지속력안좋은(175)"
건성,1025 독도 토너 200ml,라운드랩,4.43,30대,skin/toner,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '13'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '2'}]","각질제거잘되는(4,018), 피부결좋아지는(3,845), 잘발리는(3,435), 산뜻한(3,435), 따갑지않은(1,730), 뒤집어지지않는(1,367), 매끄러운(1,018)","흘러내리는(2,543), 알러지반응오는(2,056), 가려운(380), 블랙헤드안없어지는(314), 잘굳는(266), 미끌거리는(206), 지속력안좋은(175)"
건성,1025 독도 토너 200ml,라운드랩,4.43,40대 이상,skin/toner,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '13'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '2'}]","각질제거잘되는(4,018), 피부결좋아지는(3,845), 잘발리는(3,435), 산뜻한(3,435), 따갑지않은(1,730), 뒤집어지지않는(1,367), 매끄러운(1,018)","흘러내리는(2,543), 알러지반응오는(2,056), 가려운(380), 블랙헤드안없어지는(314), 잘굳는(266), 미끌거리는(206), 지속력안좋은(175)"
지성,1025 독도 토너 200ml,라운드랩,4.45,10대,skin/toner,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '13'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '2'}]","각질제거잘되는(4,018), 피부결좋아지는(3,845), 잘발리는(3,435), 산뜻한(3,435), 따갑지않은(1,730), 뒤집어지지않는(1,367), 매끄러운(1,018)","흘러내리는(2,543), 알러지반응오는(2,056), 가려운(380), 블랙헤드안없어지는(314), 잘굳는(266), 미끌거리는(206), 지속력안좋은(175)"
